THE - 104376   2.00% | 
VER -  12279   0.24% | 
ESA -   9302   0.18%
AND -  48638   0.93% | 
TER -  12274   0.24% | 
EVE -   9271   0.18%
ING -  38500   0.74% | 
ALL -  12021   0.23% | 
NCE -   9249   0.18%
HER -  30219   0.58% | 
ION -  11289   0.22% | 
EDA -   9239   0.18%
THA -  24760   0.47% | 
FTH -  11247   0.22% | 
AID -   9213   0.18%
HAT -  23177   0.44% | 
STH -  11210   0.21% | 
HIN -   9203   0.18%
HIS -  21322   0.41% | 
OFT -  11144   0.21% | 
NDT -   9190   0.18%
YOU -  20873   0.40% | 
HAD -  11113   0.21% | 
HEN -   9184   0.18%
ERE -  20173   0.39% | 
REA -  11110   0.21% | 
BUT -   9178   0.18%
DTH -  18382   0.35% | 
EST -  10757   0.21% | 
OME -   9149   0.18%
ENT -  17684   0.34% | 
ERS -  10698   0.21% | 
ILL -   9120   0.17%
ETH -  16638   0.32% | 
GHT -  10475   0.20% | 
AST -   9111   0.17%
FOR -  16484   0.32% | 
ESS -  10280   0.20% | 
RTH -   9067   0.17%
NTH -  16221   0.31% | 
HIM -  10191   0.20% | 
OUL -   8901   0.17%
THI -  15782   0.30% | 
EAR -  10173   0.20% | 
ATT -   8848   0.17%
SHE -  15440   0.30% | 
EAN -   9983   0.19% | 
STO -   8836   0.17%
WAS -  15277   0.29% | 
AVE -   9720   0.19% | 
SAI -   8753   0.17%
HES -  14937   0.29% | 
ONE -   9672   0.19% | 
ATH -   8683   0.17%
ITH -  14829   0.28% | 
HEC -   9606   0.18% | 
OUN -   8664   0.17%
TTH -  14454   0.28% | 
TIN -   9590   0.18% | 
ERT -   8579   0.16%
OTH -  14352   0.28% | 
RES -   9485   0.18% | 
SAN -   8556   0.16%
INT -  13802   0.26% | 
HEW -   9480   0.18% | 
HOU -   8465   0.16%
NOT -  13411   0.26% | 
ONT -   9445   0.18% | 
OUR -   8460   0.16%
WIT -  13084   0.25% | 
ATI -   9437   0.18% | 
OUT -   8436   0.16%
EDT -  12922   0.25% | 
HEM -   9363   0.18% | 
HEA -   8393   0.16%
